algorithm,numTasks,makespan,totalCost,avgWaitingTime,maxWaitingTime,avgTurnaroundTime,maxTurnaroundTime,avgResponseTime,throughputTasksPerSecond,slaViolationCount,slaViolationRate,avgCpuUtilization,loadBalancingIndex,energyProxy,carbonProxyGrams,vmIdleTimeAvg,vmIdleTimeMax,algorithmRuntimeMillis
RL-GA-lite,60,152.132941,0.472349,5.407876,53.832941,16.268347,58.328235,5.407876,0.394392,0,0.000000,0.356940,0.689755,408.731501,163492.600339,97.830584,148.504441,49
RL-GA-lite,60,142.555385,0.466421,3.349965,35.080000,13.253000,56.379231,3.349965,0.420889,0,0.000000,0.347340,0.641063,380.008407,152003.362896,93.040209,135.720090,42
RL-GA-lite,60,133.519412,0.467329,4.336448,35.938462,15.450921,53.866154,4.336448,0.449373,0,0.000000,0.416212,0.778134,416.351537,166540.614819,77.947048,122.389796,38
RL-GA-lite,60,163.257692,0.475457,6.461960,64.925000,17.733080,95.154000,6.461960,0.367517,0,0.000000,0.345194,0.583459,421.050955,168420.381900,106.902092,156.422398,44
RL-GA-lite,60,137.381538,0.469757,2.766134,26.544706,12.224079,46.381538,2.766134,0.436740,0,0.000000,0.344222,0.751492,366.655710,146662.284163,90.091813,123.361538,36
RL-GA-lite,60,141.723529,0.475542,3.353095,48.248235,15.228757,85.723529,3.353095,0.423359,0,0.000000,0.418973,0.677960,439.187197,175674.878846,82.345223,125.876222,32
RL-GA-lite,60,156.945000,0.464689,3.597575,42.867000,13.470971,87.945000,3.597575,0.382300,0,0.000000,0.314550,0.610792,379.119228,151647.691063,107.578021,156.945000,38
RL-GA-lite,60,120.723462,0.465332,2.370072,15.337692,11.103549,35.589412,2.370072,0.497004,0,0.000000,0.361714,0.868623,344.921683,137968.673077,77.056074,103.673077,36
RL-GA-lite,60,154.929412,0.461306,3.504962,40.602353,13.995468,63.929412,3.504962,0.387273,0,0.000000,0.338558,0.675045,397.632540,159053.015950,102.476881,145.144118,39
RL-GA-lite,60,133.590769,0.464855,3.231853,30.851000,14.336279,65.213000,3.231853,0.449133,0,0.000000,0.415614,0.767885,416.050137,166420.054751,78.068639,116.840019,30
RL-GA-lite,60,151.892941,0.474642,4.664826,56.883000,14.924191,72.883000,4.664826,0.395015,0,0.000000,0.337717,0.628572,390.698318,156279.327036,100.596114,139.939095,24
RL-GA-lite,60,147.178824,0.473557,3.528908,26.232308,13.282613,71.178824,3.528908,0.407667,0,0.000000,0.331356,0.700085,375.528495,150211.398190,98.410300,134.744400,24
RL-GA-lite,60,137.046000,0.464661,4.592449,46.013846,15.235848,67.313077,4.592449,0.437809,0,0.000000,0.388315,0.763684,402.219314,160887.725566,83.829007,121.502029,24
RL-GA-lite,60,113.731912,0.475461,2.017790,12.216912,8.398873,35.833000,2.017790,0.527556,0,0.000000,0.280532,0.704268,274.349838,109739.935068,81.826498,113.731912,24
RL-GA-lite,60,109.630577,0.458745,1.603709,15.205000,8.808961,30.612308,1.603709,0.547293,0,0.000000,0.328615,0.773613,299.074922,119629.968665,73.604316,109.630577,26
RL-GA-lite,60,163.603846,0.473073,6.357764,51.448462,17.931555,68.540000,6.357764,0.366740,0,0.000000,0.353714,0.683708,430.131097,172052.438914,105.734889,152.040865,40
